;Age;Attrition;BusinessTravel;DailyRate;Department;DistanceFromHome;Education;EducationField;employeecount;employeenumber;EnvironmentSatisfaction;Gender;HourlyRate;JobInvolvement;JobLevel;JobRole;JobSatisfaction;MaritalStatus;MonthlyIncome;MonthlyRate;NUMCOMPANIESWORKED;Over18;OverTime;PercentSalaryHike;PerformanceRating;RelationshipSatisfaction;StandardHours;StockOptionLevel;TOTALWORKINGYEARS;TrainingTimesLastYear;WORKLIFEBALANCE;YearsAtCompany;YearsInCurrentRole;YearsSinceLastPromotion;YEARSWITHCURRMANAGER;SameAsMonthlyIncome;DateBirth;Salary;RoleDepartament;NUMBERCHILDREN;RemoteWork
311;27;No;;1130,0$; Sales ;8;4;;1;458;2;1;56;3;2; sales ExecutIvE ;2;;nan;3415;1;Y;No;18;3;1;nan;1;8;3;3;8;nan;0;7;nan;1996;1000000000$; sales ExecutIvE  -  Sales ;;False
312;29;No;travel_rarely;144,0$;;10;1;;1;nan;4;1;39;2;2; saleS executIVE ;2;Divorced;nan;11866;1;Y;Yes;14;3;1;nan;2;7;2;3;7;nan;1;7;nan;1994;1000000000$;;;False
313;37;No;;1319,0$;;6;3;Medical;1;nan;3;0;51;4;2; rESEArCh Scientist ;1;Divorced;5974;17001;4;;;13;3;1;80;2;13;2;3;7;nan;6;7;5974;1986;1000000000$;;;0
314;26;No;travel_rarely;933,0$;;1;3;;1;476;3;0;57;3;2; SalES EXecuTIvE ;3;;nan;20156;1;Y;;17;3;2;80;1;nan;3;3;8;nan;7;7;nan;1997;1000000000$;;;True
315;40;No;travel_rarely;1171,0$;;10;4;Life Sciences;1;483;4;1;46;4;1; labORatORY TECHNIciAn ;3;Married;nan;22495;3;Y;Yes;13;3;3;nan;1;nan;3;3;7;nan;1;7;nan;1983;1000000000$;;;True
316;41;Yes;;143,0$;;4;3;;1;488;1;0;56;3;2; Sales eXEcuTive ;2;;nan;9558;1;;No;18;3;3;nan;0;8;5;3;8;nan;7;7;nan;1982;1000000000$;;;False
317;51;No;travel_rarely;1178,0$;;14;2;;1;500;3;1;87;3;2; SAlES eXECutIVe ;4;;nan;14862;4;;No;11;3;3;nan;1;18;2;2;7;nan;0;7;nan;1972;1000000000$;;;Yes
318;37;No;;1107,0$;;14;3;;1;nan;4;1;95;3;1; lABOraToRY TEcHNICIaN ;1;;3034;26914;1;;No;12;3;3;nan;1;nan;2;2;18;nan;12;17;3034;1986;1000000000$;;;0
319;56;No;;906,0$;;6;3;Life Sciences;1;nan;3;1;86;4;4; salEs ExECutiVE ;1;Married;13212;18256;9;Y;No;11;3;4;80;3;36;0;2;7;nan;7;7;13212;1967;1000000000$;;;True
320;41;No;travel_rarely;645,0$; Sales ;1;3;Marketing;1;534;2;0;49;4;3; sAles exECUtiVe ;1;Married;8392;19566;1;;;16;3;3;80;1;10;2;3;10;nan;0;7;8392;1982;1000000000$; sAles exECUtiVe  -  Sales ;;1
321;46;No;;1485,0$;;18;3;Medical;1;nan;3;1;87;3;2; MANUfaCTUrinG DireCtOr ;3;;nan;26314;2;Y;No;14;3;3;nan;1;19;5;2;10;nan;0;8;nan;1977;1000000000$;;;False
322;30;No;non-travel;1116,0$;;2;3;;1;nan;3;1;49;3;1; LABoRaTOrY tEcHnICian ;4;Single;nan;7181;0;Y;;14;3;3;80;0;12;2;2;11;nan;6;7;nan;1993;1000000000$;;;False
323;35;No;travel_rarely;1276,0$;;16;3;Life Sciences;1;586;4;0;72;3;3; heaLThcARe REpreSENTAtIVe ;3;;nan;14295;4;;Yes;12;3;3;nan;0;10;2;3;8;nan;0;0;nan;1988;1000000000$;;;False
324;48;No;travel_rarely;163,0$;;2;5;;1;595;2;1;37;3;2; sAleS eXecUTIVE ;4;Married;4051;19658;2;;No;14;3;1;nan;1;14;2;3;9;nan;6;7;4051;1975;1000000000$;;;True
325;45;No;travel_rarely;561,0$;;2;3;Other;1;nan;4;0;61;3;2; SAles eXEcutiVE ;2;;4805;16177;0;;No;19;3;2;nan;1;nan;3;4;8;nan;3;7;4805;1978;1000000000$;;;True
326;26;Yes;travel_frequently;426,0$;;17;4;Life Sciences;1;608;2;1;58;3;1; HuMAN ReSOuRCeS ;3;;2741;22808;0;Y;Yes;11;3;2;80;1;8;2;nan;7;nan;1;0;2741;1997;1000000000$;;;True
327;41;No;;509,0$;;2;4;Other;1;616;1;1;62;2;2; HEAlTHcARE REPrEsEnTATIVE ;3;Single;nan;2112;2;Y;Yes;17;3;1;80;0;10;3;3;8;nan;0;7;nan;1982;1000000000$;;;1
328;34;No;;258,0$;;21;4;;1;621;4;0;74;4;2; sAlEs exECUTivE ;4;Single;5337;19921;1;;;12;3;4;80;0;10;3;3;10;nan;5;7;5337;1989;1000000000$;;;True
329;31;No;travel_rarely;525,0$;;6;4;Medical;1;653;1;0;66;4;2; SALes EXEcUTiVe ;4;Divorced;nan;6219;4;Y;No;22;4;4;nan;2;13;4;4;7;nan;5;7;nan;1992;1000000000$;;;1
330;43;No;travel_frequently;nan$;;9;5;;1;663;4;0;72;3;2; labOraTORY tEChnIciAn ;3;Divorced;nan;19627;3;Y;;13;3;2;nan;1;10;3;3;8;nan;4;7;nan;1980;1000000000$;;;0
331;53;No;;238,0$; Sales ;1;1;;1;682;4;1;34;3;2; SALEs eXecuTiVE ;1;Single;nan;7507;7;Y;;20;4;4;nan;0;18;2;4;14;nan;8;10;nan;1970;1000000000$; SALEs eXecuTiVE  -  Sales ;;False
332;37;No;travel_rarely;482,0$;;3;3;Other;1;nan;3;0;36;3;3; MaNUfaCtURinG DiRectoR ;3;Married;9434;9606;1;;No;15;nan;3;80;1;nan;2;3;10;nan;7;8;9434;1986;1000000000$;;;1
333;54;No;;397,0$;;19;4;;1;nan;3;0;88;3;3; HuMAN rEsoUrCes ;2;;nan;6729;2;Y;;15;nan;3;80;1;16;1;4;9;nan;7;1;nan;1969;1000000000$;;;True
334;38;No;travel_rarely;243,0$; Sales ;7;4;Marketing;1;nan;4;1;46;2;2; SaleS executIVE ;4;;nan;7791;0;;No;20;nan;1;nan;0;nan;2;3;7;nan;0;5;nan;1985;1000000000$; SaleS executIVE  -  Sales ;;1
335;29;No;;806,0$; Research & Development ;1;4;Life Sciences;1;710;2;0;76;1;1; rEsEArCH sCIeNTIST ;4;Divorced;nan;18959;1;Y;;18;3;4;nan;1;10;5;3;10;nan;2;8;nan;1994;1000000000$; rEsEArCH sCIeNTIST  -  Research & Development ;;Yes
336;34;No;;1442,0$;;9;3;Medical;1;717;4;1;46;2;3; heALTHCARe rEpResentatIVE ;2;;nan;17654;1;;;14;3;2;nan;0;9;3;4;8;nan;7;7;nan;1989;1000000000$;;;0
337;39;No;;408,0$;;2;4;Technical Degree;1;721;4;1;80;2;2; hEALthCAre ReprEsentaTIvE ;3;Single;nan;20978;1;;No;11;3;1;nan;0;20;4;3;20;7;11;10;nan;1984;1000000000$;;;0
338;32;No;;929,0$;;10;3;Marketing;1;722;4;0;55;3;2; salEs EXEcutIvE ;4;;5396;21703;1;;;12;3;4;nan;0;10;2;2;10;nan;0;8;5396;1991;1000000000$;;;Yes
339;38;No;travel_rarely;827,0$;;1;4;Life Sciences;1;724;2;1;33;4;2; HealThcARE ReprESEnTaTIve ;4;;nan;19383;0;Y;;13;3;3;nan;0;10;4;nan;9;nan;1;8;nan;1985;1000000000$;;;1
340;27;No;travel_rarely;nan$;;1;2;Life Sciences;1;725;3;1;Not Available;3;3; mAnUfACTuRING DIreCtOR ;1;Married;nan;6009;1;;;11;3;4;nan;0;9;3;3;9;nan;0;7;nan;1996;1000000000$;;;False
341;32;No;travel_rarely;1018,0$;;3;2;Life Sciences;1;nan;3;1;39;3;3; ReSEARch dIrEcToR ;4;Single;11159;19373;3;;;15;3;4;nan;0;10;6;3;7;nan;7;7;11159;1991;1000000000$;;;False
342;47;No;;703,0$;;-35;4;Marketing;1;728;4;0;42;3;2; SALES eXEcUTiVe ;1;Single;4960;11825;2;;;12;3;4;nan;0;20;2;3;7;nan;1;7;4960;1976;1000000000$;;;False
343;27;No;travel_frequently;294,0$;;10;2;;1;733;4;0;32;3;3; MaNufACtURiNg DirEctOr ;1;;8793;4809;1;Y;No;21;4;3;nan;2;9;4;2;9;nan;1;7;8793;1996;1000000000$;;;1
344;41;No;;314,0$;;1;3;;1;734;4;0;59;2;5; mAnAGer ;3;;19189;19562;1;Y;No;12;nan;2;80;1;22;3;3;22;nan;2;10;19189;1982;1000000000$;;;False
345;28;Yes;;654,0$; Research & Development ;-35;2;;1;nan;35;1;67;1;1; reSEArch SCIEntIsT ;2;;2216;3872;7;;Yes;13;3;4;80;0;10;4;3;7;nan;3;7;2216;1995;1000000000$; reSEArch SCIEntIsT  -  Research & Development ;;1
346;36;No;;427,0$; Research & Development ;8;3;;1;742;1;1;63;4;3; rESeArCh DIrEctor ;1;Married;11713;20335;9;Y;;14;3;1;80;1;10;2;3;8;nan;0;5;11713;1987;1000000000$; rESeArCh DIrEctor  -  Research & Development ;;False
347;30;No;;501,0$;;27;5;Marketing;1;747;3;0;99;3;2; SALEs eXecutIVE ;4;Divorced;5304;25275;7;Y;No;23;nan;4;80;1;10;2;2;8;nan;7;7;5304;1993;1000000000$;;;True
348;56;No;travel_rarely;nan$;;9;3;;1;762;3;0;81;3;4; heALTHcaRE rEPresEnTAtIve ;4;Married;11103;20420;7;;No;11;3;3;nan;0;30;1;2;10;nan;1;1;11103;1967;1000000000$;;;False
349;45;No;travel_rarely;954,0$;;2;2;;1;783;2;0;46;1;2; SalES rEpRESeNtAtive ;3;Single;6632;12388;0;;No;13;3;1;nan;0;9;3;3;8;nan;3;1;6632;1978;1000000000$;;;1
350;36;No;non-travel;1434,0$;;8;4;;1;789;1;0;76;2;3; SaLEs eXeCutiVE ;1;Single;7587;14229;1;Y;;15;3;2;80;0;10;1;3;10;nan;0;9;7587;1987;1000000000$;;;False
351;29;No;;657,0$;;27;3;Medical;1;793;2;1;66;3;2; HEalTHcArE repREsENtaTIVE ;3;Married;4335;25549;4;;No;12;3;1;nan;1;11;3;2;8;nan;1;1;4335;1994;1000000000$;;;1
352;38;No;;240,0$;;2;4;Life Sciences;1;803;1;1;75;4;2; mAnUfactUrING DiReCToR ;1;Single;5980;26085;6;;;12;3;4;nan;0;17;2;3;15;nan;4;12;5980;1985;1000000000$;;;True
353;40;No;;791,0$;;-13;2;Medical;1;nan;13;1;38;4;2; HeALTHCARe rEpRESEnTaTIve ;2;;4244;9931;1;Y;No;24;4;4;nan;1;8;2;3;8;nan;3;7;4244;1983;1000000000$;;;1
354;42;No;travel_frequently;570,0$;;8;3;;1;809;2;0;66;3;5; MANAGER ;4;;nan;16225;1;;No;13;3;2;nan;1;24;4;2;24;nan;14;9;nan;1981;1000000000$;;;1
355;36;No;travel_rarely;676,0$;;1;3;Other;1;823;3;1;35;3;2; MANufacTuRInG DIReCtor ;2;;5228;23361;0;;;15;3;1;nan;1;nan;2;3;9;nan;0;5;5228;1987;1000000000$;;;False
356;29;No;travel_rarely;nan$;;23;2;;1;nan;3;0;81;4;1; RESEARCh SciENTist ;3;Married;2700;23779;1;;;24;4;3;nan;1;10;3;3;10;nan;0;7;2700;1994;1000000000$;;;1
357;fifty-five;Yes;;436,0$;;2;1;Medical;1;842;3;0;37;3;2; SALes EXECutIVe ;4;Single;nan;21519;4;Y;;16;3;3;80;0;nan;3;2;9;nan;7;3;nan;1968;1000000000$;;;False
358;28;No;;760,0$; Sales ;2;4;;1;nan;2;1;81;3;2; saLES ExECUtiVe ;2;;nan;3698;1;Y;;20;4;1;nan;0;8;2;3;8;nan;7;5;nan;1995;1000000000$; saLES ExECUtiVe  -  Sales ;;1
359;26;Yes;;nan$;;5;2;Medical;1;nan;3;1;88;2;1; reSeArch sCIenTIst ;3;Married;2366;20898;1;;;14;3;1;nan;1;8;2;3;8;nan;1;7;2366;1997;1000000000$;;;1
360;44;No;;661,0$;;9;2;;1;913;2;0;61;3;1; resEarch sCiEnTISt ;1;;nan;7508;1;;Yes;13;3;4;80;0;8;0;3;8;nan;7;1;nan;1979;1000000000$;;;1
361;41;Yes;;1085,0$; Research & Development ;2;4;Life Sciences;1;927;2;1;57;1;1; LaboRATory tEchNICIAn ;4;Divorced;nan;17725;4;;Yes;13;3;3;80;1;nan;1;2;7;nan;1;0;nan;1982;1000000000$; LaboRATory tEchNICIAn  -  Research & Development ;;True
362;31;No;travel_rarely;154,0$;;7;4;;1;941;2;0;41;2;1; saleS rePResENTatIVe ;3;;2329;11737;3;;;15;nan;2;80;0;nan;2;4;7;nan;5;2;2329;1992;1000000000$;;;0
363;26;No;travel_frequently;1283,0$; Sales ;-28;3;Medical;1;956;28;0;52;2;2; SAlEs exECUtIVe ;1;;4294;11148;1;Y;;12;3;2;nan;0;nan;2;3;7;nan;0;7;4294;1997;1000000000$; SAlEs exECUtIVe  -  Sales ;;Yes
364;31;No;;616,0$;;12;3;Medical;1;nan;4;1;41;3;2; HeAlThCArE REpreSENTaTive ;4;;nan;17369;0;;;11;3;3;nan;2;10;2;1;9;nan;8;5;nan;1992;1000000000$;;;False
365;32;No;;498,0$;;3;4;Medical;1;966;3;1;93;3;2; ManUfActurINg DiRectoR ;1;Married;6725;13554;1;;;12;3;3;nan;1;8;2;4;8;nan;6;3;6725;1991;1000000000$;;;0
366;36;Yes;travel_rarely;530,0$;;3;1;Life Sciences;1;967;3;0;51;2;3; SALes EXECuTiVe ;4;Married;10325;5518;1;Y;;11;nan;1;nan;1;nan;6;3;16;nan;3;7;10325;1987;1000000000$;;;0
367;45;No;non-travel;805,0$;;-47;2;;1;972;47;0;57;3;2; lABORaTory tecHNiCiAN ;2;;4447;23163;1;;;12;3;2;nan;0;nan;5;2;9;nan;0;8;4447;1978;1000000000$;;;1
368;39;No;travel_rarely;903,0$;;2;5;;1;nan;1;0;41;4;3; saLEs exEcUTIVe ;3;Single;nan;2560;0;;No;18;3;4;nan;0;9;3;3;8;nan;0;7;nan;1984;1000000000$;;;0
369;36;No;non-travel;1229,0$;;8;4;Technical Degree;1;990;1;0;84;3;2; SaLes EXeCuTiVE ;4;Divorced;nan;25952;4;;No;13;nan;4;nan;2;12;3;3;7;nan;0;7;nan;1987;1000000000$;;;Yes
370;46;No;;566,0$;;7;2;Medical;1;nan;4;0;Not Available;3;3; ManuFActurIng dIrEctOr ;3;;10845;24208;6;Y;;13;3;2;nan;1;nan;3;3;8;nan;0;7;10845;1977;1000000000$;;;0
371;54;No;travel_rarely;1441,0$;;17;3;Technical Degree;1;1013;3;1;56;3;3; MaNUfaCtUrInG diRectOr ;3;;nan;13943;8;;;11;nan;3;80;1;22;2;3;10;nan;0;8;nan;1969;1000000000$;;;True
372;30;No;travel_rarely;153,0$;;8;2;;1;1015;2;1;73;4;3; REseARCH DIrECTOr ;1;;nan;17802;0;Y;Yes;12;3;3;nan;3;nan;4;2;8;nan;1;7;nan;1993;1000000000$;;;True
373;26;No;;1066,0$;;2;2;Medical;1;1018;4;0;32;4;2; MaNUFActURinG DIreCtoR ;4;Married;5472;3334;1;;;12;3;2;nan;0;nan;2;3;8;nan;1;3;5472;1997;1000000000$;;;0
374;55;No;travel_frequently;135,0$;;18;4;Medical;1;1034;3;0;62;3;2; HeAltHCarE rEpREsENtAtIVe ;2;Married;6385;12992;3;;;14;3;4;80;2;nan;3;3;8;nan;6;7;6385;1968;1000000000$;;;1
375;50;No;non-travel;145,0$; Sales ;1;3;Life Sciences;1;nan;4;1;95;3;2; salEs eXECuTivE ;3;Married;6347;24920;0;Y;;12;3;1;nan;1;nan;3;3;18;nan;0;13;6347;1973;1000000000$; salEs eXECuTivE  -  Sales ;;True
376;32;No;non-travel;1109,0$;;29;4;;1;1046;4;1;69;3;1; laBoratORy TeCHNicIan ;3;Single;nan;11135;9;;No;12;3;2;nan;0;10;2;3;8;nan;7;7;nan;1991;1000000000$;;;1
377;53;No;travel_frequently;124,0$;;2;3;Marketing;1;1050;3;1;38;2;3; saLEs eXEcutivE ;2;;7525;23537;2;;;12;3;1;nan;1;30;2;nan;15;nan;6;12;7525;1970;1000000000$;;;1
378;40;No;travel_rarely;300,0$;;26;3;;1;nan;3;0;74;3;2; SAles ExECutiVE ;1;Married;nan;22217;1;;;14;3;2;80;1;8;3;2;7;nan;7;5;nan;1983;1000000000$;;;0
379;55;No;;444,0$;;2;1;;1;1074;3;0;40;2;4; maNAGER ;1;Single;nan;17323;7;;No;15;3;2;nan;0;nan;3;4;9;nan;6;2;nan;1968;1000000000$;;;True
380;28;Yes;non-travel;1366,0$;;24;2;;1;1082;2;0;72;2;3; HeaLthcarE rEPrESeNtATIVE ;1;Single;nan;12355;1;Y;No;12;3;1;nan;0;10;2;2;10;nan;1;9;nan;1995;1000000000$;;;False
381;28;No;travel_rarely;857,0$;;10;3;Other;1;1097;3;1;59;3;2; ReSeArCH ScIEntIsT ;3;Single;3660;7909;3;;No;13;3;4;80;0;nan;4;4;8;nan;1;7;3660;1995;1000000000$;;;Yes
382;35;Yes;;1204,0$;;4;3;Technical Degree;1;1100;4;0;86;3;3; SAlEs EXECUTIVE ;1;;nan;10333;0;Y;;22;4;1;80;0;9;2;3;8;nan;4;7;nan;1988;1000000000$;;;Yes
383;33;Yes;travel_frequently;827,0$; Research & Development ;-36;4;Medical;1;1101;36;1;54;2;2; ReseaRch scIenTisT ;3;Single;nan;3129;1;;No;22;4;2;nan;0;14;4;3;13;nan;3;8;nan;1990;1000000000$; ReseaRch scIenTisT  -  Research & Development ;;1
384;25;Yes;;1219,0$; Research & Development ;4;1;Technical Degree;1;1106;4;0;32;3;1; LaBoraTORY teCHNiCIaN ;4;Married;nan;4605;1;Y;;15;nan;2;nan;1;7;3;4;7;nan;5;6;nan;1998;1000000000$; LaBoraTORY teCHNiCIaN  -  Research & Development ;;Yes
385;38;No;;770,0$; Sales ;10;4;;1;1119;3;0;Not Available;2;3; sALEs ExeCuTive ;3;;8740;5569;0;;Yes;14;3;2;nan;2;9;2;nan;8;nan;2;7;8740;1985;1000000000$; sALEs ExeCuTive  -  Sales ;;True
386;28;No;;950,0$;;-12;3;;1;nan;12;1;93;3;3; manUFactURiNG dIReCtoR ;2;;nan;8039;0;;;17;3;2;80;3;nan;3;2;9;nan;1;7;nan;1995;1000000000$;;;True
387;43;No;travel_frequently;1082,0$;;27;3;Life Sciences;1;1126;3;1;83;3;3; maNufactUrinG dIREctOr ;1;Married;nan;11535;8;;No;11;3;3;nan;1;18;1;3;8;nan;0;1;nan;1980;1000000000$;;;False
388;39;Yes;travel_frequently;203,0$; Research & Development ;2;3;Life Sciences;1;nan;1;0;84;3;4; heALtHCARE rePResENtAtivE ;4;;nan;13547;7;;No;11;3;4;nan;3;21;4;3;18;nan;11;5;nan;1984;1000000000$; heALtHCARE rePResENtAtivE  -  Research & Development ;;0
389;40;No;travel_rarely;1308,0$;;14;3;;1;1128;3;0;44;2;5; rEsearch diRecTOR ;3;;nan;17544;1;Y;No;14;nan;1;80;0;nan;2;nan;20;nan;4;9;nan;1983;1000000000$;;;Yes
390;29;No;travel_rarely;718,0$;;8;1;Medical;1;nan;2;0;79;2;2; maNUfaCTUrinG DIReCtOR ;4;Married;nan;17689;1;;;15;3;3;80;1;10;2;2;10;nan;1;2;nan;1994;1000000000$;;;Yes
391;40;No;;593,0$;;-32;4;;1;nan;2;1;88;3;3; ResEaRCH dIReCtor ;3;;13499;13782;9;;No;17;3;3;nan;0;20;3;2;18;nan;2;13;13499;1983;1000000000$;;;0
392;26;No;travel_rarely;1384,0$;;3;4;;1;1177;1;0;82;4;1; lABORATorY TEchNIciAN ;4;;nan;13421;1;Y;;22;4;2;nan;1;8;2;3;8;nan;0;7;nan;1997;1000000000$;;;True
393;35;No;travel_rarely;819,0$;;2;3;;1;1182;3;0;44;2;3; mAnuFAcTuRinG direCToR ;2;Divorced;nan;19588;2;;No;18;3;2;80;1;15;2;4;7;nan;6;4;nan;1988;1000000000$;;;Yes
394;53;No;;1223,0$; Research & Development ;7;2;Medical;1;1201;4;1;50;3;5; ManAgEr ;3;Divorced;nan;18640;3;Y;No;18;3;2;nan;1;26;6;3;7;nan;4;7;nan;1970;1000000000$; ManAgEr  -  Research & Development ;;0
395;35;No;;1361,0$;;17;4;Life Sciences;1;1218;3;0;94;3;2; SALes ExeCUTIvE ;1;;nan;21026;3;Y;;15;3;4;nan;3;15;2;3;7;nan;1;7;nan;1988;1000000000$;;;1
396;33;No;;1146,0$;;25;3;Medical;1;1220;2;1;Not Available;3;2; sAles exeCutive ;3;;nan;4905;1;;No;12;3;1;nan;1;nan;3;2;10;nan;0;1;nan;1990;1000000000$;;;1
397;36;No;;nan$; Research & Development ;6;4;Life Sciences;1;nan;3;0;60;1;1; laboRAtORy TecHnICiAN ;3;Divorced;nan;6865;1;Y;No;14;3;3;nan;1;nan;4;3;7;nan;1;7;nan;1987;1000000000$; laboRAtORy TecHnICiAN  -  Research & Development ;;1
398;30;No;travel_rarely;853,0$;;7;4;Life Sciences;1;1224;3;0;49;3;2; lAbORATorY tECHnICIaN ;3;Divorced;3491;11309;1;;;13;nan;1;nan;3;nan;4;2;10;nan;8;9;3491;1993;1000000000$;;;True
399;60;No;;nan$;;-29;4;;1;nan;29;0;52;4;2; SalEs ExeCutIVe ;4;Divorced;5220;10893;0;;;18;3;2;nan;1;12;3;3;11;nan;1;9;5220;1963;1000000000$;;;True
400;32;No;;1316,0$;;2;2;Life Sciences;1;1235;4;1;38;3;2; resEArch scIENTisT ;3;Single;nan;2338;4;Y;Yes;14;3;4;nan;0;10;2;3;8;nan;0;7;nan;1991;1000000000$;;;0
401;36;No;;363,0$;;1;3;Technical Degree;1;1237;3;1;Not Available;1;3; mANUFaCTuRing DirECtOR ;1;Divorced;10252;4235;2;;Yes;21;4;3;nan;1;17;2;3;7;nan;7;7;10252;1987;1000000000$;;;Yes
402;27;No;travel_rarely;1103,0$;;14;3;;1;nan;1;0;42;3;1; rEseARcH sciENTIST ;1;;nan;14377;1;;;14;3;4;80;2;nan;3;2;9;nan;6;8;nan;1996;1000000000$;;;Yes
403;43;No;;920,0$; Research & Development ;3;3;Life Sciences;1;1255;3;0;96;1;5; ReSeARCH diRECtoR ;4;;19740;18625;3;Y;No;14;3;2;80;1;nan;2;3;8;nan;0;7;19740;1980;1000000000$; ReSeARCH diRECtoR  -  Research & Development ;;Yes
404;29;No;travel_rarely;694,0$;;1;3;;1;1264;4;1;Not Available;2;4; ReSeArCh dirECTOR ;4;Divorced;nan;3423;3;Y;No;14;3;2;nan;2;9;2;2;7;nan;1;7;nan;1994;1000000000$;;;True
405;59;No;;1429,0$;;-24;4;;1;1283;24;0;67;3;3; MANufactUring Director ;4;Single;nan;20002;6;;No;12;3;4;nan;0;nan;6;2;9;nan;5;4;nan;1964;1000000000$;;;False
406;43;No;travel_rarely;531,0$;;4;4;Marketing;1;1293;4;1;56;2;3; salES ExECUTIVE ;4;Single;nan;20364;3;;No;14;3;4;nan;0;23;3;4;21;nan;15;17;nan;1980;1000000000$;;;Yes
407;44;Yes;travel_rarely;621,0$;;15;3;Medical;1;1295;1;1;73;3;3; hEALtHcARE rePrESeNtATIve ;4;Married;nan;14075;1;Y;;11;3;4;80;1;nan;2;3;10;nan;0;5;nan;1979;1000000000$;;;Yes
408;29;Yes;;806,0$; Research & Development ;7;3;Technical Degree;1;nan;2;1;39;3;1; LAborAtOry TEchniCIAn ;3;Divorced;nan;17285;3;;Yes;13;3;1;nan;2;10;2;3;7;nan;7;7;nan;1994;1000000000$; LAborAtOry TEchniCIAn  -  Research & Development ;;1
409;32;No;travel_rarely;604,0$;;8;3;;1;nan;3;0;56;4;2; SalEs eXecUTive ;4;Married;6209;11693;1;;;15;3;3;nan;2;nan;4;4;10;nan;0;8;6209;1991;1000000000$;;;False
410;36;No;travel_rarely;325,0$;;10;4;Technical Degree;1;nan;4;1;63;3;3; HEalthCare REPresenTaTIve ;3;Married;7094;5747;3;Y;No;12;3;1;nan;0;nan;0;3;7;nan;1;7;7094;1987;1000000000$;;;True
411;fifty-two;Yes;;1030,0$; Sales ;5;3;;1;nan;2;0;64;3;3; SaLeS eXECutiVE ;2;Single;nan;21534;9;Y;Yes;19;3;3;nan;0;nan;2;2;8;nan;7;7;nan;1971;1000000000$; SaLeS eXECutiVE  -  Sales ;;Yes
412;39;No;travel_rarely;524,0$;;-33;2;;1;1322;1;0;32;3;2; mAnuFAcTuRiNG diRECtOR ;3;Single;4534;13352;0;;;11;3;1;nan;0;nan;6;nan;8;nan;1;7;4534;1984;1000000000$;;;True
413;34;No;;943,0$;;9;3;;1;1344;4;0;86;3;3; HeAlthcarE rEPreSentATive ;4;;8500;5494;0;;;11;nan;4;80;1;10;0;2;9;nan;1;6;8500;1989;1000000000$;;;True
414;38;No;;1009,0$;;2;2;Life Sciences;1;1355;2;1;31;3;2; SALEs eXEcUtive ;1;;nan;19461;3;;;15;3;4;nan;1;11;3;3;7;nan;1;7;nan;1985;1000000000$;;;True
415;36;No;travel_frequently;607,0$; Sales ;-12;3;Marketing;1;1362;12;1;83;4;2; SalEs eXECuTive ;1;Marreid;4639;2261;2;Y;No;16;3;4;nan;1;nan;2;2;15;nan;6;13;4639;1987;1000000000$; SalEs eXECuTive  -  Sales ;;1
416;35;No;;817,0$;;1;3;;1;1369;4;1;60;2;2; labORATORY TecHnICian ;4;;5363;10846;0;Y;No;12;3;2;80;1;10;0;3;9;nan;0;0;5363;1988;1000000000$;;;0
417;55;Yes;;nan$;;13;4;;1;nan;1;0;85;4;4; sAleS EXecUtiVE ;3;;nan;9277;6;Y;;17;3;3;80;0;nan;2;2;19;nan;3;8;nan;1968;1000000000$;;;True
418;34;No;;nan$;;29;3;;1;1377;2;0;86;3;2; lAborAtory TeChNiCIAN ;3;;nan;17491;4;Y;;13;3;1;nan;2;10;1;3;8;nan;7;7;nan;1989;1000000000$;;;0
419;43;No;;930,0$;;6;3;Medical;1;1402;1;1;73;2;2; rEsEArCH SCiENtIsT ;3;Single;4081;20003;1;;Yes;14;3;1;nan;0;20;3;1;20;nan;1;8;4081;1980;1000000000$;;;False
420;42;No;travel_rarely;1147,0$;;10;3;Human Resources;1;1408;3;1;31;3;4; MANAGER ;1;Married;nan;16616;0;;;14;3;3;80;1;21;5;3;20;nan;0;9;nan;1981;1000000000$;;;False
421;26;No;travel_rarely;652,0$;;7;3;;1;1417;3;0;100;4;1; LaboratOry tEchNicIaN ;1;Single;3578;23577;0;;No;12;3;4;nan;0;8;2;3;7;nan;0;7;3578;1997;1000000000$;;;True
422;29;Yes;;337,0$;;14;1;Other;1;1421;3;1;84;3;3; heaLtHCaRe REpResENtaTive ;4;Single;nan;22930;0;;Yes;12;3;1;nan;0;nan;1;3;8;nan;7;7;nan;1994;1000000000$;;;1
423;54;No;;971,0$; Research & Development ;1;3;;1;1422;4;1;54;3;4; rESeaRCH DIReCToR ;4;;17328;5652;6;;;19;3;4;nan;0;29;3;2;20;nan;12;7;17328;1969;1000000000$; rESeaRCH DIReCToR  -  Research & Development ;;0
424;55;No;;1136,0$;;1;4;;1;1424;2;0;81;4;4; reseaRCh dirEcTOr ;4;Divorced;nan;12414;2;Y;No;13;3;4;80;2;31;4;4;7;nan;0;0;nan;1968;1000000000$;;;True
425;40;No;non-travel;663,0$;;9;4;Other;1;nan;3;0;81;3;2; lABORAtoRy TecHNiCIan ;3;;nan;23099;3;Y;No;11;3;3;80;2;11;2;nan;8;nan;0;7;nan;1983;1000000000$;;;Yes
426;thirty-one;No;;326,0$;;8;2;;1;nan;1;0;31;3;3; Sales eXEcUTive ;4;Divorced;10793;8386;1;;;18;nan;1;nan;1;13;5;3;13;nan;9;9;10793;1992;1000000000$;;;True
